date,clicks,impressions,ctr,position,updated_at
2026-04-27,1,1,1,1,2026-05-27 03:00:01.735+00
2026-04-30,0,0,0,0,2026-05-30 03:00:01.992+00
2026-05-03,0,0,0,0,2026-06-02 03:00:02.224+00
2026-05-06,0,0,0,0,2026-06-05 03:00:02.483+00
2026-05-09,0,0,0,0,2026-06-08 03:00:02.263+00
2026-05-12,0,0,0,0,2026-06-11 03:00:02.232+00
2026-05-16,0,0,0,0,2026-06-15 03:00:03.871+00
2026-05-20,0,0,0,0,2026-06-19 03:00:03.874+00
2026-04-28,0,0,0,0,2026-05-28 03:00:02.337+00
2026-05-01,0,0,0,0,2026-05-31 03:00:02.372+00
2026-05-24,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-04,0,0,0,0,2026-06-03 03:00:02.793+00
2026-05-25,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-07,0,0,0,0,2026-06-06 03:00:01.978+00
2026-05-10,0,1,0,1,2026-06-09 03:00:03.132+00
2026-05-26,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-27,0,3,0,6.333333333333333,2026-06-23 03:00:02.444+00
2026-05-28,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-14,0,0,0,0,2026-06-13 03:00:01.903+00
2026-05-29,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-30,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-31,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-18,0,0,0,0,2026-06-17 03:00:02.181+00
2026-06-01,0,1,0,5,2026-06-23 03:00:02.444+00
2026-06-02,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-22,0,2,0,1,2026-06-21 03:00:02.739+00
2026-05-02,0,0,0,0,2026-06-01 03:00:02.245+00
2026-05-08,0,0,0,0,2026-06-07 03:00:03.535+00
2026-06-03,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-04,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-05,0,0,0,0,2026-06-23 03:00:02.444+00
2026-04-29,0,0,0,0,2026-05-29 03:00:02.512+00
2026-06-06,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-13,0,0,0,0,2026-06-12 03:00:02.326+00
2026-05-05,0,0,0,0,2026-06-04 03:00:02.797+00
2026-05-11,0,0,0,0,2026-06-10 03:00:03.521+00
2026-06-07,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-08,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-09,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-10,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-17,0,0,0,0,2026-06-16 03:00:03.296+00
2026-06-11,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-12,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-13,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-14,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-21,0,0,0,0,2026-06-20 03:00:03.141+00
2026-06-15,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-16,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-15,0,0,0,0,2026-06-14 03:00:02.014+00
2026-05-19,0,0,0,0,2026-06-18 03:00:02.673+00
2026-06-17,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-18,0,2,0,5,2026-06-23 03:00:02.444+00
2026-06-19,0,0,0,0,2026-06-23 03:00:02.444+00
2026-06-20,0,0,0,0,2026-06-23 03:00:02.444+00
2026-05-23,0,0,0,0,2026-06-22 03:00:02.621+00
